publicacion,region,producto,flujo,unidad,anio,escenario,valor
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2009,Caso principal,19.31
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2010,Caso principal,71.3
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2010,Caso principal,0.27
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2010,Caso principal,1.25
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2010,Caso principal,3.29
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2010,Caso principal,177.96
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2010,Caso principal,9.93
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2010,Caso principal,1027.82
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2010,Caso principal,7.94
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2010,Caso principal,31.46
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2011,Caso principal,77.91
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2011,Caso principal,0.53
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2011,Caso principal,1.7
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2011,Caso principal,3.96
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2011,Caso principal,216.4
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2011,Caso principal,10.07
RENOVABLES2025,Mundo,Hidroelectricidad,Capacidad,GW,2011,Caso principal,1058.69
RENOVABLES2025,Mundo,Sistemas FV a gran escala,Capacidad,GW,2011,Caso principal,18.85
RENOVABLES2025,Mundo,Sistemas FV distribuidos,Capacidad,GW,2011,Caso principal,51.95
RENOVABLES2025,Mundo,Bioenergía,Capacidad,GW,2012,Caso principal,83.88
RENOVABLES2025,Mundo,Energía oceánica,Capacidad,GW,2012,Caso principal,0.53
RENOVABLES2025,Mundo,Energía solar concentrada,Capacidad,GW,2012,Caso principal,2.55
RENOVABLES2025,Mundo,Eólica marina,Capacidad,GW,2012,Caso principal,5.72
RENOVABLES2025,Mundo,Eólica terrestre,Capacidad,GW,2012,Caso principal,261.56
RENOVABLES2025,Mundo,Geotermia,Capacidad,GW,2012,Caso principal,10.45
